twp,period,total_calls,critical_calls,high_calls,ems_calls,fire_calls,traffic_calls,avg_severity,night_calls,weekend_calls,unique_subtypes,period_dt,is_hotspot,calls_lag1,critical_lag1,hotspot_lag1,calls_lag2,critical_lag2,hotspot_lag2,calls_lag3,critical_lag3,hotspot_lag3,calls_roll3m,critical_roll3m,hotspot_roll3m,calls_roll6m,critical_roll6m,hotspot_roll6m,calls_roll12m,critical_roll12m,hotspot_roll12m,call_trend_3m,calls_same_month_ly,hotspot_same_month_ly,cumulative_call_rate,cumulative_hotspot_rate,hotspot_streak,year,month,quarter,month_sin,month_cos,is_summer,is_winter
ABINGTON,2016-03,668.0,305.0,102.0,360.0,105.0,203.0,1.9595808383233533,99.0,150.0,46.0,2016-03-01,1,713.0,328.0,1.0,727.0,302.0,1.0,514.0,256.0,1.0,651.3333333333334,295.3333333333333,1.0,651.3333333333334,295.3333333333333,1.0,651.3333333333334,295.3333333333333,1.0,199.0,0.0,0.0,651.3333333333334,1.0,3.0,2016,3,1,1.0,6.123233995736766e-17,0,0
ABINGTON,2016-04,728.0,347.0,115.0,385.0,109.0,234.0,2.0206043956043955,110.0,190.0,50.0,2016-04-01,1,668.0,305.0,1.0,713.0,328.0,1.0,727.0,302.0,1.0,702.6666666666666,311.6666666666667,1.0,655.5,297.75,1.0,655.5,297.75,1.0,-59.0,0.0,0.0,655.5,1.0,4.0,2016,4,2,0.8660254037844387,-0.4999999999999998,0,0
ABINGTON,2016-05,661.0,295.0,100.0,340.0,108.0,213.0,1.9379727685325265,82.0,189.0,46.0,2016-05-01,1,728.0,347.0,1.0,668.0,305.0,1.0,713.0,328.0,1.0,703.0,326.6666666666667,1.0,670.0,307.6,1.0,670.0,307.6,1.0,15.0,0.0,0.0,670.0,1.0,5.0,2016,5,2,0.49999999999999994,-0.8660254037844387,0,0
ABINGTON,2016-06,674.0,324.0,94.0,312.0,108.0,254.0,1.9940652818991098,83.0,136.0,48.0,2016-06-01,1,661.0,295.0,1.0,728.0,347.0,1.0,668.0,305.0,1.0,685.6666666666666,315.6666666666667,1.0,668.5,305.5,1.0,668.5,305.5,1.0,-7.0,0.0,0.0,668.5,1.0,6.0,2016,6,2,1.2246467991473532e-16,-1.0,1,0
ABINGTON,2016-07,721.0,315.0,122.0,374.0,102.0,245.0,1.9486823855755895,103.0,182.0,47.0,2016-07-01,1,674.0,324.0,1.0,661.0,295.0,1.0,728.0,347.0,1.0,687.6666666666666,322.0,1.0,695.1666666666666,316.8333333333333,1.0,669.2857142857143,308.14285714285717,1.0,-54.0,0.0,0.0,669.2857142857143,1.0,7.0,2016,7,3,-0.4999999999999997,-0.8660254037844388,1,0
ABINGTON,2016-08,751.0,308.0,116.0,395.0,125.0,231.0,1.8708388814913448,95.0,162.0,48.0,2016-08-01,1,721.0,315.0,1.0,674.0,324.0,1.0,661.0,295.0,1.0,685.3333333333334,311.3333333333333,1.0,694.1666666666666,319.0,1.0,675.75,309.0,1.0,60.0,0.0,0.0,675.75,1.0,8.0,2016,8,3,-0.8660254037844385,-0.5000000000000004,1,0
ABINGTON,2016-09,693.0,313.0,89.0,360.0,109.0,224.0,1.9191919191919191,108.0,134.0,48.0,2016-09-01,1,751.0,308.0,1.0,721.0,315.0,1.0,674.0,324.0,1.0,715.3333333333334,315.6666666666667,1.0,700.5,315.6666666666667,1.0,684.1111111111111,308.8888888888889,1.0,77.0,0.0,0.0,684.1111111111111,1.0,9.0,2016,9,3,-1.0,-1.8369701987210297e-16,0,0
ABINGTON,2016-10,791.0,347.0,119.0,409.0,128.0,254.0,1.9178255372945638,96.0,226.0,50.0,2016-10-01,1,693.0,313.0,1.0,751.0,308.0,1.0,721.0,315.0,1.0,721.6666666666666,312.0,1.0,704.6666666666666,317.0,1.0,685.0,309.3,1.0,-28.0,0.0,0.0,685.0,1.0,10.0,2016,10,4,-0.8660254037844386,0.5000000000000001,0,0
ABINGTON,2016-11,676.0,305.0,115.0,343.0,101.0,232.0,1.9689349112426036,69.0,156.0,48.0,2016-11-01,1,791.0,347.0,1.0,693.0,313.0,1.0,751.0,308.0,1.0,745.0,322.6666666666667,1.0,715.1666666666666,317.0,1.0,694.6363636363636,312.72727272727275,1.0,40.0,0.0,0.0,694.6363636363636,1.0,11.0,2016,11,4,-0.5000000000000004,0.8660254037844384,0,0
ABINGTON,2016-12,733.0,368.0,96.0,380.0,106.0,247.0,2.0313778990450206,107.0,214.0,47.0,2016-12-01,1,676.0,305.0,1.0,791.0,347.0,1.0,693.0,313.0,1.0,720.0,321.6666666666667,1.0,717.6666666666666,318.6666666666667,1.0,693.0833333333334,312.0833333333333,1.0,-17.0,514.0,1.0,693.0833333333334,1.0,12.0,2016,12,4,-2.4492935982947064e-16,1.0,0,1
ABINGTON,2017-01,756.0,341.0,109.0,362.0,135.0,259.0,1.9537037037037037,104.0,168.0,43.0,2017-01-01,1,733.0,368.0,1.0,676.0,305.0,1.0,791.0,347.0,1.0,733.3333333333334,340.0,1.0,727.5,326.0,1.0,711.3333333333334,321.4166666666667,1.0,-58.0,727.0,1.0,696.1538461538462,1.0,13.0,2017,1,1,0.49999999999999994,0.8660254037844387,0,1
