unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
13325751,JH101099,2024-01-01 18:35:00+00:00,0000X W RANDOLPH ST,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,False,False,111,1,34,32,02,1176102.0,1901284.0,2024,2024-12-22 15:41:04+00:00,41.884485451,-87.628783943,"(41.884485451, -87.628783943)"
11131982,JA487624,2017-10-26 22:00:00+00:00,002XX N DEARBORN ST,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,False,False,111,1,42,32,02,1175901.0,1901839.0,2017,2018-02-10 15:50:01+00:00,41.886012928,-87.629505318,"(41.886012928, -87.629505318)"
9624766,HX274673,2014-05-24 05:00:00+00:00,001XX N DEARBORN ST,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,STREET,False,False,111,1,42,32,03,1175930.0,1900878.0,2014,2016-02-04 06:33:39+00:00,41.883375237,-87.629427772,"(41.883375237, -87.629427772)"
12564211,JE473285,2021-12-10 22:38:00+00:00,0000X W WACKER DR,0320,ROBBERY,STRONG ARM - NO WEAPON,STREET,False,False,111,1,42,32,03,1176210.0,1902134.0,2021,2021-12-17 15:45:02+00:00,41.886815464,-87.628361716,"(41.886815464, -87.628361716)"
8129623,HT363498,2011-06-23 19:00:00+00:00,005XX W QUINCY ST,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,False,False,111,1,2,28,03,1172585.0,1899129.0,2011,2018-02-10 15:50:01+00:00,41.878650499,-87.641762482,"(41.878650499, -87.641762482)"
10384640,HZ120944,2016-01-19 15:01:00+00:00,003XX N WABASH AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,False,False,111,1,42,32,03,1176683.0,1902390.0,2016,2018-02-10 15:50:01+00:00,41.887507265,-87.626617012,"(41.887507265, -87.626617012)"
9630565,HX279868,2014-05-28 00:00:00+00:00,002XX N MICHIGAN AVE,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,False,False,111,1,42,32,03,1177257.0,1901911.0,2014,2016-02-04 06:33:39+00:00,41.886179873,-87.624523664,"(41.886179873, -87.624523664)"
11381353,JB351308,2018-07-15 22:44:00+00:00,0000X E LOWER WACKER DR,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,False,False,111,1,42,32,03,1176856.0,1902384.0,2018,2018-07-22 16:00:00+00:00,41.887486889,-87.625981892,"(41.887486889, -87.625981892)"
8429431,HV107590,2012-01-06 19:10:00+00:00,001XX N DESPLAINES ST,0320,ROBBERY,STRONGARM - NO WEAPON,PARKING LOT/GARAGE(NON.RESID.),False,False,111,1,27,28,03,1171916.0,1900821.0,2012,2018-02-10 15:50:01+00:00,41.883308226,-87.644169006,"(41.883308226, -87.644169006)"
8685540,HV360757,2012-06-30 22:00:00+00:00,001XX N STATE ST,0320,ROBBERY,STRONGARM - NO WEAPON,CTA TRAIN,False,False,111,1,42,32,03,1176330.0,1901657.0,2012,2016-02-04 06:33:39+00:00,41.885503844,-87.627935448,"(41.885503844, -87.627935448)"
12440941,JE322926,2021-08-02 03:00:00+00:00,001XX N STATE ST,0320,ROBBERY,STRONG ARM - NO WEAPON,CTA PLATFORM,False,False,111,1,42,32,03,1176330.0,1901649.0,2021,2021-08-09 15:40:29+00:00,41.885481891,-87.627935689,"(41.885481891, -87.627935689)"
7022786,HR414083,2009-07-06 12:45:00+00:00,004XX W VAN BUREN ST,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,False,False,111,1,2,28,03,1173442.0,1898456.0,2009,2018-02-28 15:56:25+00:00,41.876784751,-87.638635781,"(41.876784751, -87.638635781)"
4302009,HL609720,2005-09-10 12:00:00+00:00,002XX S CLINTON ST,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,False,False,111,1,2,28,03,1172763.0,1899306.0,2005,2018-02-28 15:56:25+00:00,41.879132261,-87.641103666,"(41.879132261, -87.641103666)"
11660604,JC230956,2019-04-19 23:07:00+00:00,0000X E RANDOLPH ST,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,False,False,111,1,42,32,03,1177228.0,1901296.0,2019,2019-04-26 16:11:15+00:00,41.884492937,-87.624648808,"(41.884492937, -87.624648808)"
11761273,JC353119,2019-07-05 14:05:00+00:00,001XX N MICHIGAN AVE,0340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,BANK,True,False,111,1,42,32,03,1177270.0,1901551.0,2019,2019-07-20 15:41:30+00:00,41.885191719,-87.624486846,"(41.885191719, -87.624486846)"
13171575,JG377228,2023-08-10 13:08:00+00:00,0000X E LAKE ST,0340,ROBBERY,ATTEMPT STRONG ARM - NO WEAPON,RESTAURANT,False,False,111,1,42,32,03,1176575.0,1901750.0,2023,2023-08-19 15:40:26+00:00,41.885753511,-87.627032961,"(41.885753511, -87.627032961)"
14077702,JK108032,2026-01-08 11:23:00+00:00,001XX N WABASH AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,RESTAURANT,False,False,111,1,42,32,04B,1176790.0,1901389.0,2026,2026-01-16 15:42:09+00:00,41.884758049,-87.626254369,"(41.884758049, -87.626254369)"
9067880,HW213056,2013-03-30 20:54:00+00:00,0000X E LAKE ST,0460,BATTERY,SIMPLE,CONVENIENCE STORE,True,False,111,1,42,32,08B,1176905.0,1901744.0,2013,2018-02-10 15:50:01+00:00,41.885729587,-87.625821329,"(41.885729587, -87.625821329)"
